rennen,jahr,etappe,terrain,km,hm,ps,finisher,erste_gruppe,erste_gruppe_anteil,zeitgruppen,gruppengroesse_hinten,letzter_je_km,p5_je_km,p10_je_km,p25_je_km,p50_je_km,p75_je_km,p90_je_km,p100_je_km,rang10_je_km,rang20_je_km,rang30_je_km,rang50_je_km,rang75_je_km,rang100_je_km,rang150_je_km,ueber_zeitlimit
Vuelta,2017,14,Medium_Mountain,175.0,3723,285,169,1,0.005917159763313609,70,2.4347826086956523,12.565714285714286,0.26285714285714284,0.5885714285714285,4.605714285714286,7.137142857142857,9.994285714285715,9.994285714285715,12.565714285714286,0.36,1.0342857142857143,2.834285714285714,6.1257142857142854,7.097142857142857,8.645714285714286,9.994285714285715,0
Vuelta,2017,15,Hilly_Difficult,129.4,3549,367,167,1,0.005988023952095809,56,3.018181818181818,14.327666151468314,0.4095826893353941,1.5378670788253477,7.117465224111283,12.125193199381762,12.125193199381762,14.204018547140649,14.327666151468314,0.47913446676970634,1.723338485316847,5.9737248840803705,7.117465224111283,9.721792890262751,12.125193199381762,14.204018547140649,0
Vuelta,2017,17,Mountain,180.5,4022,328,160,1,0.00625,87,1.8488372093023255,8.0,0.28254847645429365,0.5318559556786704,1.778393351800554,5.257617728531856,6.703601108033241,7.689750692520776,8.0,0.4099722991689751,0.5983379501385041,1.2132963988919667,3.440443213296399,4.498614958448753,5.750692520775623,7.778393351800554,0
Vuelta,2017,18,Medium_Mountain,169.0,3476,213,159,1,0.006289308176100629,49,3.2916666666666665,9.017751479289942,0.47928994082840237,1.3076923076923077,4.017751479289941,8.798816568047338,8.798816568047338,8.798816568047338,9.017751479289942,0.6035502958579881,3.526627218934911,3.769230769230769,4.568047337278107,8.798816568047338,8.798816568047338,8.798816568047338,0
Vuelta,2017,19,Medium_Mountain,149.7,2484,134,158,9,0.056962025316455694,20,7.842105263157895,9.832999331997328,0.0,1.068804275217101,4.909819639278558,6.753507014028057,7.835671342685371,7.835671342685371,9.832999331997328,0.30060120240480964,1.9238476953907817,4.909819639278558,4.909819639278558,6.753507014028057,7.835671342685371,7.835671342685371,0
Vuelta,2017,2,Flat,203.4,588,5,193,10,0.05181347150259067,22,8.714285714285714,2.202556538839725,0.0,0.03933136676499508,0.063913470993117,0.063913470993117,0.5801376597836775,0.7718780727630284,2.202556538839725,0.0,0.03933136676499508,0.03933136676499508,0.063913470993117,0.063913470993117,0.14749262536873156,0.7472959685349065,0
Vuelta,2017,20,Hilly_Difficult,117.5,3817,504,157,1,0.006369426751592357,93,1.6956521739130435,13.991489361702127,0.6042553191489362,2.008510638297872,5.046808510638298,9.472340425531915,11.753191489361702,13.506382978723405,13.991489361702127,0.8170212765957446,2.195744680851064,3.8553191489361702,6.731914893617021,9.472340425531915,11.16595744680851,13.617021276595745,0
Vuelta,2017,3,Medium_Mountain,158.5,3623,244,191,9,0.04712041884816754,45,4.136363636363637,14.561514195583596,0.15772870662460567,0.4668769716088328,2.7507886435331232,5.6025236593059935,7.1230283911671926,8.832807570977918,14.561514195583596,0.15772870662460567,0.4668769716088328,0.6246056782334385,2.7507886435331232,4.630914826498422,5.6025236593059935,8.832807570977918,0
Vuelta,2017,4,Hilly,198.2,1835,36,191,95,0.4973821989528796,29,3.4285714285714284,2.749747729566095,0.0,0.0,0.0,0.20181634712411706,0.7769929364278507,1.2663975782038346,2.749747729566095,0.0,0.0,0.0,0.0,0.0,0.21190716448032293,1.0595358224016147,0
Vuelta,2017,5,Medium_Mountain,157.7,2909,156,189,1,0.005291005291005291,95,2.0,8.287888395688016,0.8750792644261256,1.7882054533925176,2.155992390615092,3.8807863031071657,4.629042485732404,4.971464806594801,8.287888395688016,0.9575142675967027,1.7882054533925176,1.8833227647431834,2.200380469245403,3.360811667723526,3.950538998097654,4.838300570703868,0
Vuelta,2017,6,Hilly_Difficult,204.4,2704,106,187,3,0.016042780748663103,18,10.823529411764707,6.981409001956947,0.12720156555772993,0.12720156555772993,1.5215264187866928,3.6741682974559686,4.437377690802348,6.805283757338552,6.981409001956947,0.12720156555772993,0.12720156555772993,0.21037181996086105,2.015655577299413,3.111545988258317,3.6741682974559686,6.805283757338552,0
Vuelta,2017,7,Hilly_Difficult,207.0,3034,81,183,1,0.00546448087431694,20,9.578947368421053,5.256038647342995,0.4444444444444444,2.502415458937198,2.502415458937198,4.536231884057971,4.536231884057971,4.536231884057971,5.256038647342995,0.4444444444444444,2.502415458937198,2.502415458937198,2.5845410628019323,3.579710144927536,4.536231884057971,4.536231884057971,0
Vuelta,2017,8,Hilly_Difficult,199.5,2593,163,179,1,0.00558659217877095,86,2.0941176470588236,6.802005012531328,0.18546365914786966,0.5213032581453634,1.0526315789473684,3.568922305764411,5.177944862155388,5.87468671679198,6.802005012531328,0.3208020050125313,0.5213032581453634,0.5764411027568922,1.2531328320802004,3.208020050125313,3.764411027568922,5.684210526315789,0
Vuelta,2017,9,Hilly_Difficult,174.0,2041,151,177,1,0.005649717514124294,75,2.3783783783783785,8.298850574712644,0.08045977011494253,0.3160919540229885,1.1149425287356323,3.4080459770114944,6.649425287356322,7.103448275862069,8.298850574712644,0.08045977011494253,0.39655172413793105,0.5402298850574713,1.5114942528735633,2.8448275862068964,3.471264367816092,6.649425287356322,0
Vuelta,2018,10,Flat,177.0,1306,27,172,117,0.6802325581395349,15,3.9285714285714284,4.508474576271187,0.0,0.0,0.0,0.0,0.12429378531073447,0.2937853107344633,4.508474576271187,0.0,0.0,0.0,0.0,0.0,0.0,0.12429378531073447,0
Vuelta,2018,11,Medium_Mountain,207.8,3755,174,170,1,0.0058823529411764705,48,3.595744680851064,9.210779595765159,0.519730510105871,0.5871029836381135,0.9432146294513956,1.9826756496631375,9.143407122232915,9.143407122232915,9.210779595765159,0.5293551491819056,0.5871029836381135,0.6881616939364773,0.9672762271414821,1.8383060635226178,3.873917228103946,9.143407122232915,0
Vuelta,2018,12,Hilly_Difficult,181.1,3021,126,170,4,0.023529411764705882,25,6.916666666666667,9.083379348426284,0.2650469353948095,0.9607951408061844,3.8597459966869136,3.8597459966869136,8.08393152954169,9.083379348426284,9.083379348426284,0.8227498619547212,3.8597459966869136,3.8597459966869136,3.8597459966869136,3.8597459966869136,4.086140254003313,9.083379348426284,0
Vuelta,2018,13,Medium_Mountain,174.8,3334,194,169,1,0.005917159763313609,96,1.768421052631579,12.397025171624714,0.46338672768878714,0.7379862700228832,1.3272311212814645,3.87299771167048,9.38787185354691,9.822654462242562,12.397025171624714,0.49771167048054915,0.8695652173913043,1.0125858123569793,1.8020594965675056,3.495423340961098,5.566361556064073,9.822654462242562,0
Vuelta,2018,14,Medium_Mountain,171.0,3314,286,167,1,0.005988023952095809,100,1.6767676767676767,11.403508771929825,0.15789473684210525,0.8596491228070176,3.0584795321637426,7.502923976608187,9.970760233918128,10.865497076023392,11.403508771929825,0.22807017543859648,1.1403508771929824,2.1052631578947367,3.654970760233918,7.444444444444445,7.935672514619883,10.865497076023392,0
Vuelta,2018,15,Mountain,178.2,4586,390,166,1,0.006024096385542169,76,2.2,12.974186307519641,0.4769921436588104,1.54320987654321,4.158249158249158,9.758698092031427,12.631874298540966,12.631874298540966,12.974186307519641,0.611672278338945,1.6161616161616164,2.261503928170595,4.5286195286195285,7.805836139169473,10.044893378226712,12.631874298540966,0
Vuelta,2018,17,Medium_Mountain,157.0,3574,298,162,1,0.006172839506172839,97,1.6770833333333333,10.165605095541402,0.3248407643312102,1.0445859872611465,2.4140127388535033,5.369426751592357,8.802547770700636,9.280254777070065,10.165605095541402,0.6878980891719745,1.1019108280254777,2.0191082802547773,3.464968152866242,5.197452229299363,7.56687898089172,9.356687898089172,0
Vuelta,2018,18,Flat,186.1,1040,12,160,41,0.25625,30,4.103448275862069,2.504030091348737,0.0,0.0,0.0,0.6286942504030092,0.999462654486835,1.4938205265986029,2.504030091348737,0.0,0.0,0.0,0.19344438473938744,0.41375604513702313,0.999462654486835,1.4938205265986029,0
Vuelta,2018,19,Medium_Mountain,154.4,3183,239,158,1,0.006329113924050633,42,3.8292682926829267,10.097150259067357,0.46632124352331605,0.9067357512953368,4.5595854922279795,7.001295336787565,8.082901554404145,10.097150259067357,10.097150259067357,0.7059585492227979,1.1917098445595855,3.8341968911917097,6.113989637305699,6.528497409326425,7.862694300518134,10.097150259067357,0
Vuelta,2018,2,Medium_Mountain,163.5,2826,115,175,2,0.011428571428571429,56,3.1454545454545455,12.972477064220184,0.01834862385321101,0.04892966360856269,0.3730886850152905,1.492354740061162,4.0,4.960244648318043,12.972477064220184,0.01834862385321101,0.04892966360856269,0.1162079510703364,0.45871559633027525,1.2782874617737003,2.3914373088685017,4.960244648318043,0
Vuelta,2018,20,Hilly_Difficult,97.3,3429,341,158,2,0.012658227848101266,79,2.0,20.298047276464544,1.408016443987667,3.165467625899281,7.50256937307297,13.134635149023639,17.677286742034944,19.948612538540598,20.298047276464544,1.9424460431654678,3.5457348406988696,5.78622816032888,8.16032887975334,13.134635149023639,13.967112024665981,20.061664953751286,0
